index,start,end,duration,cumval,roi,type
11,590,593,5,0.1478868969315865,2,snowmelt
12,615,616,3,0.14726988584998763,2,snowmelt
13,620,626,8,0.8588025554342236,2,snowmelt
14,628,645,19,2.5838123117495324,2,snowmelt
15,651,652,3,0.07815337042205109,2,snowmelt
1,131,138,9,0.34984272092816365,2,snowmelt
2,142,146,6,0.2641299398211753,2,snowmelt
3,148,155,9,0.3612958610134232,2,snowmelt
4,162,164,4,0.09591140032202039,2,snowmelt
5,256,259,5,0.22111442805436177,2,snowmelt
6,263,264,3,0.06298791449368363,2,snowmelt
7,268,271,5,0.3279793124777888,2,snowmelt
8,277,299,24,4.2688813623525075,2,snowmelt
9,473,473,2,0.027869017142448604,2,snowmelt
10,486,486,2,0.026386960624189604,2,snowmelt
11,524,525,3,0.05276418436254003,2,snowmelt
12,533,535,4,0.09604771672376897,2,snowmelt
13,587,594,9,0.4341744016490151,2,snowmelt
14,599,600,3,0.059283798133387584,2,snowmelt
15,607,607,2,0.02939360847779458,2,snowmelt
16,609,616,9,0.4961963145739165,2,snowmelt
17,619,626,9,1.0360825483759288,2,snowmelt
18,628,643,17,1.3210437867485254,2,snowmelt
19,651,652,3,0.06334100472227296,2,snowmelt
20,701,701,2,0.04162979917159484,2,snowmelt
21,704,706,4,0.0938933026149305,2,snowmelt
22,724,725,3,0.06582698541731945,2,snowmelt
1,131,139,10,0.4622345692345172,2,snowmelt
2,142,146,6,0.2652963162511744,2,snowmelt
3,148,157,11,0.44182093183882937,2,snowmelt
4,163,164,3,0.057625965202347515,2,snowmelt
5,256,258,4,0.16094508577728417,2,snowmelt
6,269,271,4,0.27642916403909235,2,snowmelt
7,278,304,28,4.969787502212463,2,snowmelt
8,473,473,2,0.03065530389548258,2,snowmelt
9,486,486,2,0.025749963303236645,2,snowmelt
10,524,526,4,0.0790384020980654,2,snowmelt
11,533,535,4,0.09825184019715485,2,snowmelt
12,587,587,2,0.051932961792479124,2,snowmelt
13,589,594,7,0.2912348676590858,2,snowmelt
14,610,616,8,0.3403379829460925,2,snowmelt
15,620,626,8,1.0478723797241538,2,snowmelt
16,628,647,21,2.2085076343519017,2,snowmelt
17,651,652,3,0.0857040691565007,2,snowmelt
18,701,701,2,0.04888634146016591,2,snowmelt
19,704,706,4,0.11097333777988709,2,snowmelt
20,724,725,3,0.07849518636177405,2,snowmelt
1,130,139,11,0.5512071572269294,2,snowmelt
2,142,146,6,0.251380256516277,2,snowmelt
3,149,158,11,0.4793135794641223,2,snowmelt
4,256,257,3,0.10623659905296179,2,snowmelt
5,269,271,4,0.2248041953197369,2,snowmelt
6,278,309,33,5.725159219118437,2,snowmelt
7,473,474,3,0.058558143904530464,2,snowmelt
8,486,486,2,0.02681845840716819,2,snowmelt
9,524,526,4,0.0791198844585091,2,snowmelt
10,533,536,5,0.14216058312279461,2,snowmelt
11,587,587,2,0.04273314207747715,2,snowmelt
12,590,593,5,0.17821985865902448,2,snowmelt
13,610,611,3,0.05481046779179599,2,snowmelt
14,615,616,3,0.11901498054770188,2,snowmelt
15,620,626,8,0.901787831608168,2,snowmelt
16,628,653,27,3.2178198962821827,2,snowmelt
17,667,668,3,0.05900399078242996,2,snowmelt
18,701,701,2,0.05029357769776593,2,snowmelt
19,704,706,4,0.11141303504567762,2,snowmelt
20,724,725,3,0.07860280457368082,2,snowmelt
1,130,140,12,0.5896704186300863,2,snowmelt
2,142,146,6,0.2529858177443909,2,snowmelt
3,149,157,10,0.3453632409744631,2,snowmelt
4,270,271,3,0.10942824773751125,2,snowmelt
5,279,314,37,6.893197069322343,2,snowmelt
6,473,474,3,0.06253386813297215,2,snowmelt
7,486,486,2,0.027281729186043067,2,snowmelt
8,512,512,2,0.024296092507143707,2,snowmelt
9,515,516,3,0.049690403243412264,2,snowmelt
10,535,536,3,0.05354774743875651,2,snowmelt
11,616,616,2,0.034632565526951514,2,snowmelt
12,621,626,7,0.619330510299269,2,snowmelt
13,629,657,30,4.527217342631692,2,snowmelt
14,667,668,3,0.08353684335576855,2,snowmelt
